raw_skill,normalized_key,total_count,source_breakdown,unmatched_reason_breakdown,raw_variants,recommended_action,suggestion_method,top_candidate_esco_uri,top_candidate_label,top_candidate_language,top_candidate_similarity,notes
Vente,vente,77,{'opportunities': 77},{'semantic_surface_bridge_missing': 77},Vente,needs_review,semantic_nearest_neighbor,http://data.europa.eu/esco/skill/af7ae54f-4649-4c16-87c7-59ba41d4d57f,SPARK,multilingual,0.846946,Semantic candidate exists but lacks enough surface evidence for automatic alias suggestion.
Gestion,gestion,54,{'opportunities': 54},{'semantic_below_threshold': 54},Gestion,noise,heuristic_noise_filter,,,,,High-frequency unmatched entry looks like noise or a generic phrase.
Qualité,qualite,51,{'opportunities': 51},{'semantic_below_threshold': 51},Qualité,needs_review,semantic_nearest_neighbor,http://data.europa.eu/esco/skill/af7ae54f-4649-4c16-87c7-59ba41d4d57f,SPARK,multilingual,0.655296,Semantic candidate exists but lacks enough surface evidence for automatic alias suggestion.
Maintenance,maintenance,50,{'opportunities': 50},{'semantic_below_threshold': 50},Maintenance,needs_review,frequency_only,,,,,Frequent unmatched entry with no strong current ESCO candidate.
Production,production,42,{'opportunities': 42},{'semantic_below_threshold': 42},Production,needs_review,semantic_nearest_neighbor,http://data.europa.eu/esco/skill/12c7b323-d870-4f5b-9d7d-d9f525206d77,production processes,multilingual,0.660791,Semantic candidate exists but should be reviewed manually.
controle qualite,controle qualite,39,{'opportunities': 39},{'semantic_below_threshold': 39},controle qualite,needs_review,frequency_only,,,,,Frequent unmatched entry with no strong current ESCO candidate.
Marketing,marketing,38,{'opportunities': 38},{'semantic_below_threshold': 38},Marketing,needs_review,semantic_nearest_neighbor,esco:skill_sales_strategy,Sales strategy,multilingual,0.644403,Semantic candidate exists but lacks enough surface evidence for automatic alias suggestion.
Finance,finance,37,{'opportunities': 37},{'semantic_below_threshold': 37},Finance,needs_review,semantic_nearest_neighbor,http://data.europa.eu/esco/skill/450054eb-ccdb-42a7-baf0-371aba515fe7,financial engineering,multilingual,0.627302,Semantic candidate exists but should be reviewed manually.
sage,sage,32,{'opportunities': 32},"{'semantic_below_threshold': 31, 'semantic_surface_bridge_missing': 1}",sage | SAGE,needs_review,semantic_nearest_neighbor,http://data.europa.eu/esco/skill/bde6d525-01e0-4d50-ac46-a6314274c1d6,theology,multilingual,0.6274,Semantic candidate exists but lacks enough surface evidence for automatic alias suggestion.
Tourisme,tourisme,25,{'opportunities': 25},{'semantic_below_threshold': 25},Tourisme,needs_review,semantic_nearest_neighbor,http://data.europa.eu/esco/skill/761e1acc-d38b-4524-9890-6a119fb7e98c,support local tourism,multilingual,0.694237,Semantic candidate exists but should be reviewed manually.
